                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5888,                 5.7267,                 4.2562,                      0,                      0,                      0,                      0,                 3.4659,                 5.7335,                 4.1433,                 0.0937,                 0.0007,                 0.0007
                      1,                  3.506,                 5.6841,                 4.2645,                      0,                      0,                      0,                      0,                 3.4698,                 5.7136,                 4.1231,                 0.0865,              0.0014995,              0.0014995
                      2,                 3.5915,                 5.6513,                 4.2288,                      0,                      0,                      0,                      0,                 3.4722,                 5.7018,                 4.1131,               0.079298,              0.0022985,              0.0022985
                      3,                 3.5514,                 5.6142,                 4.2126,                      0,                      0,                      0,                      0,                 3.4749,                 5.6901,                 4.1016,               0.072097,              0.0030969,              0.0030969
                      4,                 3.5324,                 5.6166,                   4.18,                      0,                      0,                      0,                      0,                 3.4769,                 5.6789,                   4.09,               0.064895,              0.0038949,              0.0038949
                      5,                  3.538,                 5.6571,                 4.1783,                      0,                      0,                      0,                      0,                 3.4786,                 5.6692,                 4.0793,               0.057692,              0.0046922,              0.0046922
                      6,                 3.5974,                 5.5871,                 4.1351,                      0,                      0,                      0,                      0,                 3.4804,                 5.6617,                 4.0718,               0.050489,              0.0054891,              0.0054891
                      7,                 3.5226,                 5.5602,                 4.1104,                      0,                      0,                      0,                      0,                 3.4823,                 5.6514,                 4.0625,               0.043285,              0.0062854,              0.0062854
                      8,                 3.6383,                 5.5531,                 4.1016,                      0,                      0,                      0,                      0,                 3.4837,                 5.6415,                 4.0526,               0.036081,              0.0070813,              0.0070813
                      9,                 3.6491,                  5.516,                 4.0608,                      0,                      0,                      0,                      0,                 3.4849,                 5.6361,                 4.0448,               0.028877,              0.0078765,              0.0078765
                     10,                 3.6667,                 5.4785,                 4.0619,                      0,                      0,                      0,                      0,                 3.4853,                 5.6295,                 4.0343,               0.021671,              0.0086713,              0.0086713
                     11,                 3.5675,                 5.4511,                 4.0359,                      0,                      0,                      0,                      0,                 3.4837,                 5.6262,                 4.0264,               0.014466,              0.0094655,              0.0094655
                     12,                  3.673,                 5.4091,                 4.0339,                      0,                      0,                      0,                      0,                 3.4801,                 5.6301,                 4.0216,              0.0099604,              0.0099604,              0.0099604
                     13,                 3.5669,                 5.3986,                 4.0105,                0.00054,                0.00056,                0.00028,                  7e-05,                 3.4743,                 5.6246,                 4.0175,              0.0099604,              0.0099604,              0.0099604
                     14,                 3.6409,                 5.3457,                 3.9917,                0.00036,                0.00319,                0.00023,                  9e-05,                 3.4203,                 5.5914,                 4.0386,              0.0099571,              0.0099571,              0.0099571
                     15,                 3.5301,                 5.1986,                 3.9588,                0.07044,                0.00011,                  1e-05,                      0,                 3.4484,                 16.965,                  4.144,              0.0099538,              0.0099538,              0.0099538
                     16,                  3.571,                 5.2005,                 3.9171,                0.18346,                0.00218,                  9e-05,                  2e-05,                 3.3846,                 18.962,                 4.1044,              0.0099505,              0.0099505,              0.0099505
                     17,                 3.4073,                 5.1118,                 3.8676,                  3e-05,                0.00155,                  2e-05,                      0,                 3.4842,                 385.49,                  4.633,              0.0099472,              0.0099472,              0.0099472
